benchmark,cut_limit,run,luts,levels,time_sec
square,2,1,4221,50,0.1061
square,2,2,4221,50,0.1112
square,2,3,4221,50,0.1096
square,4,1,3992,50,0.1817
square,4,2,3992,50,0.1808
square,4,3,3992,50,0.1812
square,8,1,3997,50,0.3378
square,8,2,3997,50,0.3351
square,8,3,3997,50,0.334
square,16,1,3984,50,0.6652
square,16,2,3984,50,0.6653
square,16,3,3984,50,0.6656
square,32,1,3986,50,1.3384
square,32,2,3986,50,1.3363
square,32,3,3986,50,1.3364
square,64,1,3985,50,2.6404
square,64,2,3985,50,2.6415
square,64,3,3985,50,2.6532
arbiter,2,1,2722,18,0.0883
arbiter,2,2,2722,18,0.0898
arbiter,2,3,2722,18,0.0891
arbiter,4,1,2722,18,0.1045
arbiter,4,2,2722,18,0.104
arbiter,4,3,2722,18,0.1052
arbiter,8,1,2722,18,0.1298
arbiter,8,2,2722,18,0.1295
arbiter,8,3,2722,18,0.1301
arbiter,16,1,2722,18,0.167
arbiter,16,2,2722,18,0.1662
arbiter,16,3,2722,18,0.1666
arbiter,32,1,2722,18,0.2359
arbiter,32,2,2722,18,0.2353
arbiter,32,3,2722,18,0.2364
arbiter,64,1,2722,18,0.2553
arbiter,64,2,2722,18,0.2553
arbiter,64,3,2722,18,0.2555
cavlc,2,1,123,4,0.0572
cavlc,2,2,123,4,0.0576
cavlc,2,3,123,4,0.0566
cavlc,4,1,123,4,0.0579
cavlc,4,2,123,4,0.0573
cavlc,4,3,123,4,0.0569
cavlc,8,1,122,4,0.0596
cavlc,8,2,122,4,0.0587
cavlc,8,3,122,4,0.0587
cavlc,16,1,120,4,0.0616
cavlc,16,2,120,4,0.0601
cavlc,16,3,120,4,0.0603
cavlc,32,1,121,4,0.0626
cavlc,32,2,121,4,0.0618
cavlc,32,3,121,4,0.0623
cavlc,64,1,121,4,0.0634
cavlc,64,2,121,4,0.0621
cavlc,64,3,121,4,0.0626
ctrl,2,1,29,2,0.055
ctrl,2,2,29,2,0.0547
ctrl,2,3,29,2,0.055
ctrl,4,1,29,2,0.0559
ctrl,4,2,29,2,0.0549
ctrl,4,3,29,2,0.0545
ctrl,8,1,29,2,0.0562
ctrl,8,2,29,2,0.0574
ctrl,8,3,29,2,0.0555
ctrl,16,1,29,2,0.0567
ctrl,16,2,29,2,0.056
ctrl,16,3,29,2,0.0559
ctrl,32,1,29,2,0.0569
ctrl,32,2,29,2,0.0559
ctrl,32,3,29,2,0.0563
ctrl,64,1,29,2,0.0574
ctrl,64,2,29,2,0.056
ctrl,64,3,29,2,0.0562
dec,2,1,287,2,0.0548
dec,2,2,287,2,0.0545
dec,2,3,287,2,0.0552
dec,4,1,287,2,0.0562
dec,4,2,287,2,0.0552
dec,4,3,287,2,0.0553
dec,8,1,287,2,0.0564
dec,8,2,287,2,0.0557
dec,8,3,287,2,0.0554
dec,16,1,287,2,0.0565
dec,16,2,287,2,0.0556
dec,16,3,287,2,0.0557
dec,32,1,287,2,0.0567
dec,32,2,287,2,0.056
dec,32,3,287,2,0.0559
dec,64,1,287,2,0.0569
dec,64,2,287,2,0.0561
dec,64,3,287,2,0.0557
i2c,2,1,390,4,0.0577
i2c,2,2,390,4,0.0577
i2c,2,3,390,4,0.0592
i2c,4,1,369,4,0.0599
i2c,4,2,369,4,0.0591
i2c,4,3,369,4,0.0592
i2c,8,1,365,4,0.0632
i2c,8,2,365,4,0.0623
i2c,8,3,365,4,0.0623
i2c,16,1,360,4,0.0658
i2c,16,2,360,4,0.065
i2c,16,3,360,4,0.0653
i2c,32,1,358,4,0.0683
i2c,32,2,358,4,0.0673
i2c,32,3,358,4,0.0677
i2c,64,1,358,4,0.0684
i2c,64,2,358,4,0.0677
i2c,64,3,358,4,0.0682
int2float,2,1,49,3,0.0544
int2float,2,2,49,3,0.0544
int2float,2,3,49,3,0.055
int2float,4,1,49,3,0.0556
int2float,4,2,49,3,0.0548
int2float,4,3,49,3,0.0545
int2float,8,1,49,3,0.0558
int2float,8,2,49,3,0.0553
int2float,8,3,49,3,0.0549
int2float,16,1,49,3,0.0564
int2float,16,2,49,3,0.0562
int2float,16,3,49,3,0.0556
int2float,32,1,49,3,0.0568
int2float,32,2,49,3,0.0557
int2float,32,3,49,3,0.0557
int2float,64,1,49,3,0.0565
int2float,64,2,49,3,0.0563
int2float,64,3,49,3,0.0559
mem_ctrl,2,1,12871,25,0.2169
mem_ctrl,2,2,12871,25,0.2207
mem_ctrl,2,3,12871,25,0.2199
mem_ctrl,4,1,12314,25,0.3341
mem_ctrl,4,2,12314,25,0.3293
mem_ctrl,4,3,12314,25,0.3284
mem_ctrl,8,1,12104,25,0.5374
mem_ctrl,8,2,12104,25,0.5385
mem_ctrl,8,3,12104,25,0.5415
mem_ctrl,16,1,12065,25,0.91
mem_ctrl,16,2,12065,25,0.9096
mem_ctrl,16,3,12065,25,0.9094
mem_ctrl,32,1,12055,25,1.423
mem_ctrl,32,2,12055,25,1.4283
mem_ctrl,32,3,12055,25,1.4312
mem_ctrl,64,1,12032,25,1.7693
mem_ctrl,64,2,12032,25,1.772
mem_ctrl,64,3,12032,25,1.7693
priority,2,1,238,31,0.056
priority,2,2,238,31,0.0559
priority,2,3,238,31,0.0566
priority,4,1,220,31,0.0585
priority,4,2,220,31,0.0574
priority,4,3,220,31,0.0571
priority,8,1,219,31,0.0605
priority,8,2,219,31,0.0597
priority,8,3,219,31,0.0596
priority,16,1,222,31,0.0655
priority,16,2,222,31,0.0642
priority,16,3,222,31,0.0645
priority,32,1,220,31,0.0727
priority,32,2,220,31,0.0721
priority,32,3,220,31,0.0725
priority,64,1,220,31,0.0818
priority,64,2,220,31,0.081
priority,64,3,220,31,0.0818
router,2,1,100,11,0.0545
router,2,2,100,11,0.0544
router,2,3,100,11,0.0551
router,4,1,93,11,0.0558
router,4,2,93,11,0.0551
router,4,3,93,11,0.0552
router,8,1,91,11,0.0569
router,8,2,91,11,0.056
router,8,3,91,11,0.0557
router,16,1,92,11,0.0578
router,16,2,92,11,0.0572
router,16,3,92,11,0.057
router,32,1,92,11,0.0598
router,32,2,92,11,0.059
router,32,3,92,11,0.059
router,64,1,92,11,0.0618
router,64,2,92,11,0.0608
router,64,3,92,11,0.0607
voter,2,1,2881,17,0.0916
voter,2,2,2881,17,0.0914
voter,2,3,2881,17,0.0916
voter,4,1,3091,17,0.1211
voter,4,2,3091,17,0.1203
voter,4,3,3091,17,0.1209
voter,8,1,2826,17,0.1805
voter,8,2,2826,17,0.1806
voter,8,3,2826,17,0.1818
voter,16,1,2262,16,0.3397
voter,16,2,2262,16,0.3361
voter,16,3,2262,16,0.3369
voter,32,1,2259,16,0.6296
voter,32,2,2259,16,0.6293
voter,32,3,2259,16,0.6303
voter,64,1,2282,16,1.0729
voter,64,2,2282,16,1.0729
voter,64,3,2282,16,1.0744
